"year";"FIPS";"State";"County";"Premature death:YPLL Rate";"Premature death:95% CI - Low";"Premature death:95% CI - High";"Poor or fair health:% Fair/Poor";"Poor or fair health:95% CI - Low";"Poor or fair health:95% CI - High";"Poor physical health days:Physically Unhealthy Days";"Poor physical health days:95% CI - Low";"Poor physical health days:95% CI - High";"Poor mental health days:Mentally Unhealthy Days";"Poor mental health days:95% CI - Low";"Poor mental health days:95% CI - High";"Adult smoking:% Smokers";"Adult smoking:95% CI - Low";"Adult smoking:95% CI - High";"Adult obesity:% Obese";"Adult obesity:95% CI - Low";"Adult obesity:95% CI - High";"Sexually transmitted infections:# Chlamydia Cases";"Sexually transmitted infections:Chlamydia Incidence";"Diabetes prevalence:% Diabetic";"Diabetes prevalence:95% CI - Low";"Diabetes prevalence:95% CI - High";"Life expectancy:Life Expectancy";"Life expectancy:95% CI - Low";"Life expectancy:95% CI - High";"COVID-19 mortality:# deaths during 2020";"COVID-19 mortality:Death rate"
2022;"01000";"Alabama";NA;10350,071456;10246,133257;10454,009654;21,410189284;20,129193304;22,749486711;4,8146328442;4,5086909392;5,1205747492;5,6183155052;5,2720701998;5,9645608106;21,092716;19,693913273;22,562957299;36,3;34,7;38;31228;636,9;12,2;11,4;13;74,83594896;74,753990696;74,917907224;6544;103,65098475
2022;"01001";"Alabama";"Autauga";8027,3947267;7197,6258114;8857,1636419;20,1;17,8;22,5;4,5100424038;4,231629528;4,7861714655;5,4190677155;5,0962147855;5,7386687473;19,7;16,8;22,2;35,3;33,9;36,7;323;578,1;11,2;10,4;11,9;76,585649727;75,847961029;77,323338424;55;82,012892726
2022;"01003";"Alabama";"Baldwin";8118,3582061;7666,8741011;8569,8423111;17,2;14,9;19,7;4,168866136;3,8661693076;4,4811011439;5,173915124;4,8065768268;5,5221696614;19,9;16,7;22,9;29,6;28,4;31;750;336;9,4;8,8;10,2;77,724729177;77,338976906;78,110481448;165;50,0227993
2022;"01005";"Alabama";"Barbour";12876,760319;11149,914146;14603,606492;31,1;28,1;34;5,8844146337;5,5917591621;6,1894950325;6,1098993294;5,8533724728;6,3743459053;27,8;25;30,5;40,4;39,1;41,7;221;895,2;16,5;15,7;17,3;72,867210115;71,635871628;74,098548602;38;110,28157296
2022;"01007";"Alabama";"Bibb";11191,474323;9625,5252369;12757,423408;25;22,4;27,4;5,161337369;4,8810920559;5,448289912;5,8460957209;5,5503413567;6,1366237233;25,2;22,5;27,6;41,2;39,9;42,4;121;540,3;12,7;12,1;13,4;73,609363092;72,399394882;74,819331301;40;147,48670296
2022;"01009";"Alabama";"Blount";10787,014541;9825,2017406;11748,827342;23,2;20,4;25,9;4,9483926568;4,6372917574;5,2634051335;5,7382383487;5,4161979738;6,0302507521;22,2;19,3;24,9;38,7;37,2;40;234;404,7;11,4;10,6;12,1;74,1714626;73,434444235;74,908480965;92;117,45856225
2022;"01011";"Alabama";"Bullock";11406,351094;9004,9392832;13807,762905;31,1;28,2;34;5,5124304874;5,229454799;5,8012386724;5,6940702734;5,4150136459;5,9591072689;25,2;22,7;27,8;43,8;42,3;45,3;75;742,5;17,8;16,8;18,7;73,81468226;71,988632215;75,640732304;20;159,52578866
2022;"01013";"Alabama";"Butler";12717,030159;10844,970612;14589,089705;27,1;24,5;29,7;5,3398672065;5,06081614;5,6313394989;5,9515484185;5,6823879677;6,2300750251;24,6;22,1;27;39,7;38,4;41;207;1064,4;15,1;14,3;15,8;73,473279047;72,084858089;74,861700006;52;170,78498706
2022;"01015";"Alabama";"Calhoun";11826,11499;11114,089116;12538,140864;23,7;21,5;26,1;4,9393331139;4,6478176894;5,2443291765;5,7384222945;5,4248792837;6,0500024842;22,6;20;25,1;35,9;34,7;37,1;829;729,7;12,7;12;13,4;72,825007074;72,309677473;73,340336675;175;118,89342555
2022;"01017";"Alabama";"Chambers";11059,443876;9699,6470277;12419,240724;25,3;23,1;27,9;5,109041175;4,8604503525;5,3764494818;5,8121735023;5,5610410711;6,0709339253;23,6;21,3;25,9;39,5;38,2;40,7;240;721,7;13,9;13,3;14,6;73,761104989;72,765651916;74,756558062;73;147,43461869
